event_id,activity,timestamp,object_ids,attr__quantity,attr__unit,attr__value,attr__currency,attr__material,attr__movement_type,attr__billing_category
e74,Create Goods Movement (from Order),2020-03-26T08:12:48+00:00,0000019068;4900005426,2.0,ST,0.0,EUR,R-F100,601, 
e75,Create Goods Movement (from Delivery),2020-03-26T08:12:48+00:00,0080018917;4900005426,2.0,ST,0.0,EUR,R-F100,601, 
e1,Create Invoice (from Order),2020-03-26T08:12:57+00:00,0000019068;0090040438,2.0,ST,5200.0,EUR, , ,L
e2,Create Invoice (from Delivery),2020-03-26T08:12:57+00:00,0080018917;0090040438,2.0,ST,5200.0,EUR, , ,L
e76,Create Order (from Quotation),2020-03-26T23:51:12+00:00,0000019071;0020000271,1.0,ST,920.0,EUR, , , 
e79,Create Goods Movement (from Order),2020-03-27T08:11:39+00:00,0000019073;4900005439,1.0,ST,0.0,EUR,T-VPC98,601, 
e80,Create Goods Movement (from Delivery),2020-03-27T08:11:39+00:00,0080018919;4900005439,1.0,ST,0.0,EUR,T-VPC98,601, 
e81,Create Invoice (from Order),2020-03-27T08:12:07+00:00,0000019073;0090040439,1.0,ST,212.0,EUR, , ,L
e82,Create Invoice (from Delivery),2020-03-27T08:12:07+00:00,0080018919;0090040439,1.0,ST,212.0,EUR, , ,L
e77,Create Order (from Quotation),2020-03-27T08:12:14+00:00,0000019074;0020000274,0.0, ,800.0,EUR, , , 
e78,Create Order (from Quotation),2020-03-27T08:12:15+00:00,0000019074;0020000274,1.0,ST,800.0,EUR, , , 
e3,Create Goods Movement (from Order),2020-03-27T13:38:56+00:00,0000019077;4900005445,2.0,ST,140.0,EUR,T-VPC00,601, 
e4,Create Goods Movement (from Delivery),2020-03-27T13:38:56+00:00,0080018920;4900005445,2.0,ST,140.0,EUR,T-VPC00,601, 
e83,Create Invoice (from Order),2020-03-27T13:44:54+00:00,0000019077;0090040440,2.0,ST,1600.0,EUR, , ,L
e84,Create Invoice (from Delivery),2020-03-27T13:44:54+00:00,0080018920;0090040440,2.0,ST,1600.0,EUR, , ,L
e6,Create Goods Movement (from Order),2020-03-27T22:35:24+00:00,0000019078;4900005446,4.0,ST,0.0,EUR,T-VPC98,601, 
e7,Create Goods Movement (from Delivery),2020-03-27T22:35:24+00:00,0080018922;4900005446,4.0,ST,0.0,EUR,T-VPC98,601, 
e5,Create Goods Movement (from Order),2020-03-28T04:06:44+00:00,0000019080;4900005447,6.0,ST,28.2,EUR,T-VPC98,601, 
e9,Create Goods Movement (from Delivery),2020-03-28T04:06:44+00:00,0080018924;4900005447,6.0,ST,28.2,EUR,T-VPC98,601, 
e85,Create Invoice (from Order),2020-03-28T04:11:37+00:00,0000019080;0090040441,6.0,ST,600.0,EUR, , ,L
e86,Create Invoice (from Delivery),2020-03-28T04:11:37+00:00,0080018924;0090040441,6.0,ST,600.0,EUR, , ,L
e8,Create Goods Movement (from Order),2020-05-06T07:24:51+00:00,0000019084;4900005522,10.0,ST,5744.5,EUR,P-102,601, 
e10,Create Goods Movement (from Delivery),2020-05-06T07:24:51+00:00,0080018926;4900005522,10.0,ST,5744.5,EUR,P-102,601, 
e11,Create Invoice (from Order),2020-05-06T07:25:40+00:00,0000019084;0090040442,10.0,ST,9900.0,EUR, , ,L
e12,Create Invoice (from Delivery),2020-05-06T07:25:40+00:00,0080018926;0090040442,10.0,ST,9900.0,EUR, , ,L
e99,Create Goods Movement (from Order),2020-05-07T07:54:05+00:00,0000019086;4900005523,10.0,ST,2400.0,EUR,P-105,601, 
e100,Create Goods Movement (from Delivery),2020-05-07T07:54:05+00:00,0080018927;4900005523,10.0,ST,2400.0,EUR,P-105,601, 
e87,Create Invoice (from Order),2020-05-07T07:56:08+00:00,0000019086;0090040443,10.0,ST,4900.0,EUR, , ,O
