object_id,object_type,attr__vbtyp_code
0000019068,Order,C
0090040438,Invoice,M
0080018917,Delivery,J
0000019077,Order,C
4900005445,Goods Movement,R
0080018920,Delivery,J
0000019080,Order,C
4900005447,Goods Movement,R
0000019078,Order,C
4900005446,Goods Movement,R
0080018922,Delivery,J
0000019084,Order,C
4900005522,Goods Movement,R
0080018924,Delivery,J
0080018926,Delivery,J
0090040442,Invoice,M
0000019087,Order,C
4900005524,Goods Movement,R
0080018928,Delivery,J
0090040444,Invoice,M
0080018935,Delivery,J
0090040450,Invoice,M
0000019096,Order,C
4900005534,Goods Movement,R
0080018938,Delivery,J
0090040452,Invoice,M
0000019106,Order,C
4900005538,Goods Movement,R
0080018944,Delivery,J
0000019104,Order,C
4900005539,Goods Movement,R
0080018939,Delivery,J
0000019103,Order,C
4900005540,Goods Movement,R
0080018943,Delivery,J
0000019107,Order,C
4900005541,Goods Movement,R
0080018945,Delivery,J
0000019105,Order,C
0090040453,Invoice,M
0000019095,Order,C
4900005532,Goods Movement,R
0080018936,Delivery,J
0090040451,Invoice,M
0080018941,Delivery,J
0090040454,Invoice,M
0090040455,Invoice,M
0090040456,Invoice,M
0090040457,Invoice,M
0000019102,Order,C
0090040458,Invoice,M
0080018942,Delivery,J
0000019134,Order,C
1828951000,Goods Movement,R
0010000089,Inquiry,A
0020000276,Quotation,B
0000019125,Order,C
0080018951,Delivery,J
0090040459,Invoice,M
0000019136,Order,C
4500019826,Purchase Order,V
0000019154,Order,C
0090040460,Invoice,M
0080018953,Delivery,J
0000019156,Order,C
0090040461,Invoice,M
0080018955,Delivery,J
0000019157,Order,C
0090040462,Invoice,M
0080018956,Delivery,J
0000019158,Order,C
0090040463,Invoice,M
0080018957,Delivery,J
0000019174,Order,C
4900005628,Goods Movement,R
0080018972,Delivery,J
0090040464,Invoice,M
0000019175,Order,C
4900005629,Goods Movement,R
0080018973,Delivery,J
0005000028,Order,C
4900005630,Goods Movement,R
0087000002,Delivery,J
4900005426,Goods Movement,R
0020000271,Quotation,B
0000019071,Order,C
0020000274,Quotation,B
0000019074,Order,C
0000019073,Order,C
4900005439,Goods Movement,R
0080018919,Delivery,J
0090040439,Invoice,M
0090040440,Invoice,M
0090040441,Invoice,M
0000019086,Order,C
0090040443,Invoice,M
0080018927,Delivery,J
0000019101,Order,C
4900005535,Goods Movement,R
0080018940,Delivery,J
4900005536,Goods Movement,R
4900005537,Goods Movement,R
0010000088,Inquiry,A
0020000275,Quotation,B
4900005523,Goods Movement,R
0000019088,Order,C
4900005525,Goods Movement,R
0080018929,Delivery,J
0000019089,Order,C
4900005526,Goods Movement,R
0080018930,Delivery,J
