event_id,object_id,qualifier
e74,0000019068,preceding document
e74,4900005426,subsequent document
e75,0080018917,preceding document
e75,4900005426,subsequent document
e1,0000019068,preceding document
e1,0090040438,subsequent document
e2,0080018917,preceding document
e2,0090040438,subsequent document
e76,0020000271,preceding document
e76,0000019071,subsequent document
e79,0000019073,preceding document
e79,4900005439,subsequent document
e80,0080018919,preceding document
e80,4900005439,subsequent document
e81,0000019073,preceding document
e81,0090040439,subsequent document
e82,0080018919,preceding document
e82,0090040439,subsequent document
e77,0020000274,preceding document
e77,0000019074,subsequent document
e78,0020000274,preceding document
e78,0000019074,subsequent document
e3,4900005445,subsequent document
e3,0000019077,preceding document
e4,4900005445,subsequent document
e4,0080018920,preceding document
e83,0090040440,subsequent document
e83,0000019077,preceding document
e84,0090040440,subsequent document
e84,0080018920,preceding document
e6,0000019078,preceding document
e6,4900005446,subsequent document
e7,4900005446,subsequent document
e7,0080018922,preceding document
e5,0000019080,preceding document
e5,4900005447,subsequent document
e9,0080018924,preceding document
e9,4900005447,subsequent document
e85,0090040441,subsequent document
e85,0000019080,preceding document
e86,0090040441,subsequent document
e86,0080018924,preceding document
e8,4900005522,subsequent document
e8,0000019084,preceding document
e10,0080018926,preceding document
e10,4900005522,subsequent document
e11,0090040442,subsequent document
e11,0000019084,preceding document
e12,0080018926,preceding document
e12,0090040442,subsequent document
e99,0000019086,preceding document
e99,4900005523,subsequent document
e100,0080018927,preceding document
e100,4900005523,subsequent document
e87,0090040443,subsequent document
e87,0000019086,preceding document
e88,0090040443,subsequent document
e88,0080018927,preceding document
e13,0000019087,preceding document
e13,4900005524,subsequent document
e14,0080018928,preceding document
e14,4900005524,subsequent document
e15,0000019087,preceding document
e15,0090040444,subsequent document
e16,0080018928,preceding document
e16,0090040444,subsequent document
e101,4900005525,subsequent document
e101,0000019088,preceding document
e102,4900005525,subsequent document
e102,0080018929,preceding document
e103,0000019089,preceding document
e103,4900005526,subsequent document
e104,0080018930,preceding document
e104,4900005526,subsequent document
e105,0000019089,preceding document
e105,0090040445,subsequent document
e106,0090040445,subsequent document
e106,0080018930,preceding document
e107,4900005527,subsequent document
e107,0000019090,preceding document
e108,4900005527,subsequent document
e108,0080018931,preceding document
e109,0000019090,preceding document
e109,0090040446,subsequent document
e110,0080018931,preceding document
e110,0090040446,subsequent document
e111,4900005528,subsequent document
e111,0000019091,preceding document
e112,0080018932,preceding document
e112,4900005528,subsequent document
e113,0090040447,subsequent document
e113,0000019091,preceding document
e114,0080018932,preceding document
e114,0090040447,subsequent document
e115,0000019092,preceding document
e115,4900005529,subsequent document
e116,0080018933,preceding document
e116,4900005529,subsequent document
e117,0090040448,subsequent document
e117,0000019092,preceding document
e118,0080018933,preceding document
e118,0090040448,subsequent document
e119,4900005530,subsequent document
e119,0000019093,preceding document
e120,4900005530,subsequent document
e120,0080018934,preceding document
e121,0090040449,subsequent document
e121,0000019093,preceding document
e122,0090040449,subsequent document
e122,0080018934,preceding document
e123,0000019094,preceding document
e123,4900005531,subsequent document
e124,0080018935,preceding document
e124,4900005531,subsequent document
e17,0080018935,preceding document
e17,0090040450,subsequent document
e125,0090040450,subsequent document
e125,0000019094,preceding document
e32,0000019095,preceding document
e32,4900005532,subsequent document
e33,4900005532,subsequent document
e33,0080018936,preceding document
e34,0000019095,preceding document
e34,0090040451,subsequent document
e35,0090040451,subsequent document
e35,0080018936,preceding document
e18,0000019096,preceding document
e18,4900005534,subsequent document
e19,0080018938,preceding document
e19,4900005534,subsequent document
e20,0090040452,subsequent document
e20,0000019096,preceding document
e21,0080018938,preceding document
e21,0090040452,subsequent document
e89,4900005535,subsequent document
e89,0000019101,preceding document
e90,4900005535,subsequent document
e90,0080018940,preceding document
e91,4900005536,subsequent document
e91,0000019105,preceding document
e92,4900005536,subsequent document
e92,0000019105,preceding document
e93,0080018941,preceding document
e93,4900005536,subsequent document
e94,0080018941,preceding document
e94,4900005536,subsequent document
e95,4900005537,subsequent document
e95,0000019102,preceding document
e96,4900005537,subsequent document
e96,0080018942,preceding document
e22,0000019106,preceding document
e22,4900005538,subsequent document
e23,0080018944,preceding document
e23,4900005538,subsequent document
e24,4900005539,subsequent document
e24,0000019104,preceding document
e25,0080018939,preceding document
e25,4900005539,subsequent document
e26,0000019103,preceding document
e26,4900005540,subsequent document
e27,0080018943,preceding document
e27,4900005540,subsequent document
e28,0000019107,preceding document
e28,4900005541,subsequent document
e29,0080018945,preceding document
e29,4900005541,subsequent document
e30,0090040453,subsequent document
e30,0000019105,preceding document
e31,0090040453,subsequent document
e31,0000019105,preceding document
e36,0090040453,subsequent document
e36,0080018941,preceding document
e37,0090040453,subsequent document
e37,0080018941,preceding document
e38,0000019107,preceding document
e38,0090040454,subsequent document
e39,0080018945,preceding document
e39,0090040454,subsequent document
e40,0090040455,subsequent document
e40,0000019106,preceding document
e41,0090040455,subsequent document
e41,0080018944,preceding document
e42,0000019104,preceding document
e42,0090040456,subsequent document
e43,0080018939,preceding document
e43,0090040456,subsequent document
e44,0000019103,preceding document
e44,0090040457,subsequent document
e45,0080018943,preceding document
e45,0090040457,subsequent document
e46,0000019102,preceding document
e46,0090040458,subsequent document
e47,0090040458,subsequent document
e47,0080018942,preceding document
e97,0020000275,subsequent document
e97,0010000088,preceding document
e98,0020000275,subsequent document
e98,0010000088,preceding document
e49,0010000089,preceding document
e49,0020000276,subsequent document
e50,0010000089,preceding document
e50,0020000276,subsequent document
e51,0010000089,preceding document
e51,0000019125,subsequent document
e52,0000019125,subsequent document
e52,0020000276,preceding document
e53,0000019125,subsequent document
e53,0020000276,preceding document
e48,1828951000,subsequent document
e48,0000019134,preceding document
e54,0080018951,preceding document
e54,1828951000,subsequent document
e55,0090040459,subsequent document
e55,0000019134,preceding document
e56,0080018951,preceding document
e56,0090040459,subsequent document
e57,0000019136,preceding document
e57,4500019826,subsequent document
e58,0000019154,preceding document
e58,0090040460,subsequent document
e59,0090040460,subsequent document
e59,0080018953,preceding document
e60,0090040461,subsequent document
e60,0000019156,preceding document
e61,0090040461,subsequent document
e61,0080018955,preceding document
e62,0090040462,subsequent document
e62,0000019157,preceding document
e63,0090040462,subsequent document
e63,0080018956,preceding document
e64,0090040463,subsequent document
e64,0000019158,preceding document
e65,0090040463,subsequent document
e65,0080018957,preceding document
e66,0000019174,preceding document
e66,4900005628,subsequent document
e67,4900005628,subsequent document
e67,0080018972,preceding document
e68,0090040464,subsequent document
e68,0000019174,preceding document
e69,0090040464,subsequent document
e69,0080018972,preceding document
e70,4900005629,subsequent document
e70,0000019175,preceding document
e71,4900005629,subsequent document
e71,0080018973,preceding document
e72,4900005630,subsequent document
e72,0005000028,preceding document
e73,0087000002,preceding document
e73,4900005630,subsequent document
e201,4900005631,subsequent document
e201,0005000029,preceding document
e202,0087000003,preceding document
e202,4900005631,subsequent document
e177,4900005632,subsequent document
e177,0005000030,preceding document
e178,4900005632,subsequent document
e178,0087000004,preceding document
e126,0090040465,subsequent document
e126,0005000030,preceding document
e127,0090040465,subsequent document
e127,0087000004,preceding document
e154,4900005645,subsequent document
e154,0000019182,preceding document
e155,0000019188,preceding document
e155,4900005647,subsequent document
e156,4900005647,subsequent document
e156,0080018976,preceding document
e157,0000019188,preceding document
e157,0090040466,subsequent document
e158,0080018976,preceding document
e158,0090040466,subsequent document
e128,4900005650,subsequent document
e128,0000019189,preceding document
e129,0080018977,preceding document
e129,4900005650,subsequent document
e227,0000019194,preceding document
e227,4900005666,subsequent document
e228,0080018981,preceding document
e228,4900005666,subsequent document
e229,4900005670,subsequent document
e229,0000019197,preceding document
e230,4900005670,subsequent document
e230,0000019197,preceding document
e231,4900005670,subsequent document
e231,0080018982,preceding document
e232,4900005670,subsequent document
e232,0080018982,preceding document
e233,0000019197,preceding document
e233,0090040467,subsequent document
e234,0000019197,preceding document
e234,0090040467,subsequent document
e235,0090040467,subsequent document
e235,0080018982,preceding document
e236,0090040467,subsequent document
e236,0080018982,preceding document
e130,4900005671,subsequent document
e130,0000019198,preceding document
e131,4900005671,subsequent document
e131,0000019198,preceding document
e132,4900005671,subsequent document
e132,0080018983,preceding document
e133,4900005671,subsequent document
e133,0080018983,preceding document
e134,0090040468,subsequent document
e134,0000019198,preceding document
e135,0090040468,subsequent document
e135,0000019198,preceding document
e136,0090040468,subsequent document
e136,0080018983,preceding document
e137,0090040468,subsequent document
e137,0080018983,preceding document
e203,0005000038,preceding document
e203,4900005672,subsequent document
e204,0005000038,preceding document
e204,4900005672,subsequent document
e205,0087000007,preceding document
e205,4900005672,subsequent document
e206,0087000007,preceding document
e206,4900005672,subsequent document
e237,0005000038,preceding document
e237,0090040469,subsequent document
e238,0005000038,preceding document
e238,0090040469,subsequent document
e239,0087000007,preceding document
e239,0090040469,subsequent document
e240,0087000007,preceding document
e240,0090040469,subsequent document
e241,2300009000,subsequent document
e241,0005000040,preceding document
e242,4900005673,subsequent document
e242,0005000040,preceding document
e243,2300009000,subsequent document
e243,0087000009,preceding document
e244,4900005673,subsequent document
e244,0087000009,preceding document
e159,0090040470,subsequent document
e159,0005000040,preceding document
e160,0090040470,subsequent document
e160,0005000040,preceding document
e161,0090040470,subsequent document
e161,0087000009,preceding document
e162,0090040470,subsequent document
e162,0087000009,preceding document
e138,0005002002,preceding document
e138,2300010000,subsequent document
e139,4900005674,subsequent document
e139,0005002002,preceding document
e140,0087000010,preceding document
e140,2300010000,subsequent document
e141,0087000010,preceding document
e141,4900005674,subsequent document
e142,0090040471,subsequent document
e142,0005002002,preceding document
e143,0090040471,subsequent document
e143,0005002002,preceding document
e144,0087000010,preceding document
e144,0090040471,subsequent document
e145,0087000010,preceding document
e145,0090040471,subsequent document
e163,2300011000,subsequent document
e163,0005002003,preceding document
e164,4900005675,subsequent document
e164,0005002003,preceding document
e165,2300011000,subsequent document
e165,0087000011,preceding document
e166,4900005675,subsequent document
e166,0087000011,preceding document
e146,0090040472,subsequent document
e146,0005002003,preceding document
e147,0090040472,subsequent document
e147,0005002003,preceding document
e148,0090040472,subsequent document
e148,0087000011,preceding document
e149,0090040472,subsequent document
e149,0087000011,preceding document
e179,2300012000,subsequent document
e179,0005002004,preceding document
e180,0005002004,preceding document
e180,4900005676,subsequent document
e181,0087000012,preceding document
e181,2300012000,subsequent document
e182,0087000012,preceding document
e182,4900005676,subsequent document
e150,0090040473,subsequent document
e150,0005002004,preceding document
e151,0090040473,subsequent document
e151,0005002004,preceding document
e152,0087000012,preceding document
e152,0090040473,subsequent document
e153,0087000012,preceding document
e153,0090040473,subsequent document
e167,0005002005,preceding document
e167,2300013000,subsequent document
e168,0005002005,preceding document
e168,4900005677,subsequent document
e169,2300013000,subsequent document
e169,0087000013,preceding document
e170,0087000013,preceding document
e170,4900005677,subsequent document
e171,0005002005,preceding document
e171,0090040474,subsequent document
e172,0005002005,preceding document
e172,0090040474,subsequent document
e173,0087000013,preceding document
e173,0090040474,subsequent document
e174,0087000013,preceding document
e174,0090040474,subsequent document
e175,0005002006,preceding document
e175,2300014000,subsequent document
e176,0005002006,preceding document
e176,4900005678,subsequent document
e183,0087000014,preceding document
e183,2300014000,subsequent document
e184,0087000014,preceding document
e184,4900005678,subsequent document
e207,0090040475,subsequent document
e207,0005002006,preceding document
e208,0090040475,subsequent document
e208,0005002006,preceding document
e209,0090040475,subsequent document
e209,0087000014,preceding document
e210,0090040475,subsequent document
e210,0087000014,preceding document
e185,2300015000,subsequent document
e185,0005002007,preceding document
e186,4900005679,subsequent document
e186,0005002007,preceding document
e187,0087000015,preceding document
e187,2300015000,subsequent document
e188,4900005679,subsequent document
e188,0087000015,preceding document
e189,0090040476,subsequent document
e189,0005002007,preceding document
e190,0090040476,subsequent document
e190,0005002007,preceding document
e191,0090040476,subsequent document
e191,0087000015,preceding document
e192,0090040476,subsequent document
e192,0087000015,preceding document
e193,2300016000,subsequent document
e193,0005002008,preceding document
e194,0005002008,preceding document
e194,4900005680,subsequent document
e195,2300016000,subsequent document
e195,0087000016,preceding document
e196,0087000016,preceding document
e196,4900005680,subsequent document
e197,0090040477,subsequent document
e197,0005002008,preceding document
e198,0090040477,subsequent document
e198,0005002008,preceding document
e199,0090040477,subsequent document
e199,0087000016,preceding document
e200,0090040477,subsequent document
e200,0087000016,preceding document
e211,2300017000,subsequent document
e211,0005002009,preceding document
e212,0005002009,preceding document
e212,4900005681,subsequent document
e213,2300017000,subsequent document
e213,0087000017,preceding document
e214,0087000017,preceding document
e214,4900005681,subsequent document
e215,0090040478,subsequent document
e215,0005002009,preceding document
e216,0090040478,subsequent document
e216,0005002009,preceding document
e217,0090040478,subsequent document
e217,0087000017,preceding document
e218,0090040478,subsequent document
e218,0087000017,preceding document
e219,2300018000,subsequent document
e219,0005002010,preceding document
e220,0005002010,preceding document
e220,4900005682,subsequent document
e221,2300018000,subsequent document
e221,0087000018,preceding document
e222,0087000018,preceding document
e222,4900005682,subsequent document
e223,0090040479,subsequent document
e223,0005002010,preceding document
e224,0090040479,subsequent document
e224,0005002010,preceding document
e225,0090040479,subsequent document
e225,0087000018,preceding document
e226,0090040479,subsequent document
e226,0087000018,preceding document
e3446,2300019000,subsequent document
e3446,0005002011,preceding document
e3447,4900005683,subsequent document
e3447,0005002011,preceding document
e3448,2300019000,subsequent document
e3448,0087000019,preceding document
e3449,0087000019,preceding document
e3449,4900005683,subsequent document
e741,0090040480,subsequent document
e741,0005002011,preceding document
e742,0090040480,subsequent document
e742,0005002011,preceding document
e743,0090040480,subsequent document
e743,0087000019,preceding document
e744,0090040480,subsequent document
e744,0087000019,preceding document
e1039,2300020000,subsequent document
e1039,0005002012,preceding document
e1040,4900005684,subsequent document
e1040,0005002012,preceding document
e1041,2300020000,subsequent document
e1041,0087000020,preceding document
e1042,4900005684,subsequent document
e1042,0087000020,preceding document
e745,0005002012,preceding document
e745,0090040481,subsequent document
e746,0005002012,preceding document
e746,0090040481,subsequent document
e747,0087000020,preceding document
e747,0090040481,subsequent document
e748,0087000020,preceding document
e748,0090040481,subsequent document
e3479,2300021000,subsequent document
e3479,0005002013,preceding document
e3480,0005002013,preceding document
e3480,4900005685,subsequent document
e3481,2300021000,subsequent document
e3481,0087000021,preceding document
e3482,4900005685,subsequent document
e3482,0087000021,preceding document
e1760,0090040482,subsequent document
e1760,0005002013,preceding document
e1761,0090040482,subsequent document
e1761,0005002013,preceding document
e1762,0090040482,subsequent document
e1762,0087000021,preceding document
e1763,0090040482,subsequent document
e1763,0087000021,preceding document
e947,0005002014,preceding document
e947,2300022000,subsequent document
e948,0005002014,preceding document
e948,4900005686,subsequent document
e949,2300022000,subsequent document
e949,0087000022,preceding document
e950,4900005686,subsequent document
e950,0087000022,preceding document
e1764,0005002014,preceding document
e1764,0090040483,subsequent document
e1765,0005002014,preceding document
e1765,0090040483,subsequent document
e1766,0090040483,subsequent document
e1766,0087000022,preceding document
e1767,0090040483,subsequent document
e1767,0087000022,preceding document
e3423,0005002015,preceding document
e3423,2300023000,subsequent document
e3424,4900005687,subsequent document
e3424,0005002015,preceding document
e3425,0087000023,preceding document
e3425,2300023000,subsequent document
e3426,4900005687,subsequent document
e3426,0087000023,preceding document
e1768,0090040484,subsequent document
e1768,0005002015,preceding document
e1769,0090040484,subsequent document
e1769,0005002015,preceding document
e1770,0090040484,subsequent document
e1770,0087000023,preceding document
e1771,0090040484,subsequent document
e1771,0087000023,preceding document
e3483,0005002016,preceding document
e3483,2300024000,subsequent document
e3484,0005002016,preceding document
e3484,4900005688,subsequent document
e3485,2300024000,subsequent document
e3485,0087000024,preceding document
e3486,4900005688,subsequent document
e3486,0087000024,preceding document
e1772,0005002016,preceding document
e1772,0090040485,subsequent document
e1773,0005002016,preceding document
e1773,0090040485,subsequent document
e1774,0090040485,subsequent document
e1774,0087000024,preceding document
e1775,0090040485,subsequent document
e1775,0087000024,preceding document
e951,0005002017,preceding document
e951,2300025000,subsequent document
e952,0005002017,preceding document
e952,4900005689,subsequent document
e953,2300025000,subsequent document
e953,0087000025,preceding document
e954,4900005689,subsequent document
e954,0087000025,preceding document
e1776,0005002017,preceding document
e1776,0090040486,subsequent document
e1777,0005002017,preceding document
e1777,0090040486,subsequent document
e1778,0090040486,subsequent document
e1778,0087000025,preceding document
e1779,0090040486,subsequent document
e1779,0087000025,preceding document
e3487,2300026000,subsequent document
e3487,0005002018,preceding document
e3488,4900005690,subsequent document
e3488,0005002018,preceding document
e3489,0087000026,preceding document
e3489,2300026000,subsequent document
e3490,0087000026,preceding document
e3490,4900005690,subsequent document
