VBELV,POSNV,VBELN,POSNN,VBTYP_N,VBTYP_V,RFMNG,MEINS,RFWRT,WAERS,ERDAT,ERZET,MATNR,BWART,AEDAT,FKTYP
0000019068,000010,0090040438,000010,M,C,2.0,ST,5200.0,EUR,20200326,081257, , ,00000000,L
0080018917,000010,0090040438,000010,M,J,2.0,ST,5200.0,EUR,20200326,081257, , ,00000000,L
0000019077,000010,4900005445,000001,R,C,2.0,ST,140.0,EUR,20200327,133856,T-VPC00,601,00000000, 
0080018920,000010,4900005445,000001,R,J,2.0,ST,140.0,EUR,20200327,133856,T-VPC00,601,00000000, 
0000019080,000010,4900005447,000001,R,C,6.0,ST,28.2,EUR,20200328,040644,T-VPC98,601,00000000, 
0000019078,000010,4900005446,000001,R,C,4.0,ST,0.0,EUR,20200327,223524,T-VPC98,601,00000000, 
0080018922,000010,20200327,223524,Q,J,4.0,ST,0.0, ,20200327,223524, , ,00000000, 
0080018922,000010,4900005446,000001,R,J,4.0,ST,0.0,EUR,20200327,223524,T-VPC98,601,00000000, 
0000019084,000010,4900005522,000001,R,C,10.0,ST,5744.5,EUR,20200506,072451,P-102,601,00000000, 
0080018924,000010,20200328,040644,Q,J,6.0,ST,0.0, ,20200328,040644, , ,00000000, 
0080018924,000010,4900005447,000001,R,J,6.0,ST,28.2,EUR,20200328,040644,T-VPC98,601,00000000, 
0000019084,000010,0080018926,000010,J,C,10.0,ST,0.0, ,20200506,072249, ,601,00000000, 
0080018926,000010,0000004112,000001,Q,J,10.0,ST,0.0, ,20200506,072353,P-102, ,00000000, 
0080018926,000010,4900005522,000001,R,J,10.0,ST,5744.5,EUR,20200506,072451,P-102,601,00000000, 
0000019084,000010,0090040442,000010,M,C,10.0,ST,9900.0,EUR,20200506,072540, , ,00000000,L
0080018926,000010,0090040442,000010,M,J,10.0,ST,9900.0,EUR,20200506,072540, , ,00000000,L
0000019087,000010,0080018928,000010,J,C,5.0,ST,0.0, ,20200507,104301, ,601,00000000, 
0080018928,000010,0000004114,000001,Q,J,5.0,ST,0.0, ,20200507,104331,P-105, ,00000000, 
0000019087,000010,4900005524,000001,R,C,5.0,ST,1200.0,EUR,20200507,104345,P-105,601,00000000, 
0080018928,000010,4900005524,000001,R,J,5.0,ST,1200.0,EUR,20200507,104345,P-105,601,00000000, 
0000019087,000010,0090040444,000010,M,C,5.0,ST,2500.0,EUR,20200507,104358, , ,00000000,L
0080018928,000010,0090040444,000010,M,J,5.0,ST,2500.0,EUR,20200507,104358, , ,00000000,L
0080018935,000010,0090040450,000010,M,J,10.0,ST,302800.0,EUR,20200508,052212, , ,00000000,L
0000019095,000010,0080018936,000010,J,C,10.0,ST,0.0, ,20200508,052430, ,601,00000000, 
0000019099,000010,0080018937,000010,J,C,1.0,ST,0.0, ,20200509,062709, ,601,00000000, 
0000019096,000010,4900005534,000001,R,C,10.0,ST,5744.5,EUR,20200509,063145,P-102,601,00000000, 
0080018938,000010,4900005534,000001,R,J,10.0,ST,5744.5,EUR,20200509,063145,P-102,601,00000000, 
0000019096,000010,0090040452,000010,M,C,10.0,ST,67600.0,EUR,20200509,064009, , ,00000000,L
0080018938,000010,0090040452,000010,M,J,10.0,ST,67600.0,EUR,20200509,064009, , ,00000000,L
0000019106,000010,0080018944,000010,J,C,2.0,ST,0.0, ,20200509,071438, ,601,00000000, 
0000019107,000010,0080018945,000010,J,C,1.0,ST,0.0, ,20200509,071657, ,601,00000000, 
0080018944,000010,0000004125,000001,Q,J,2.0,ST,0.0, ,20200509,071807,P-102, ,00000000, 
0000019106,000010,4900005538,000001,R,C,2.0,ST,1148.9,EUR,20200509,072235,P-102,601,00000000, 
0080018944,000010,4900005538,000001,R,J,2.0,ST,1148.9,EUR,20200509,072235,P-102,601,00000000, 
0080018939,000010,0000004129,000001,Q,J,5.0,ST,0.0, ,20200509,072504,P-102, ,00000000, 
0000019104,000010,4900005539,000001,R,C,5.0,ST,2872.25,EUR,20200509,072705,P-102,601,00000000, 
0080018939,000010,4900005539,000001,R,J,5.0,ST,2872.25,EUR,20200509,072705,P-102,601,00000000, 
0000019103,000010,4900005540,000001,R,C,1.0,ST,574.45,EUR,20200509,072726,P-102,601,00000000, 
0080018943,000010,4900005540,000001,R,J,1.0,ST,574.45,EUR,20200509,072726,P-102,601,00000000, 
0080018945,000010,0000004130,000001,Q,J,1.0,ST,0.0, ,20200509,072838,P-102, ,00000000, 
0000019107,000010,4900005541,000001,R,C,1.0,ST,574.45,EUR,20200509,072933,P-102,601,00000000, 
0080018945,000010,4900005541,000001,R,J,1.0,ST,574.45,EUR,20200509,072933,P-102,601,00000000, 
0000019105,000010,0090040453,000010,M,C,1.0,ST,6800.0,EUR,20200509,073738, , ,00000000,L
0000019105,000020,0090040453,000020,M,C,2.0,ST,9360.0,EUR,20200509,073738, , ,00000000,L
0000019080,000010,0080018924,000010,J,C,6.0,ST,0.0, ,20200328,040547, ,601,00000000, 
0000019092,000010,0080018933,000010,J,C,2.0,ST,0.0, ,20200508,040605, ,601,00000000, 
0080018933,000010,0000004119,000001,Q,J,2.0,ST,0.0, ,20200508,040637,P-101, ,00000000, 
0080018936,000010,0000004122,000001,Q,J,10.0,ST,0.0, ,20200508,052442,P-102, ,00000000, 
